INFO:root:Ingest Issues at [2015-10-26T15:11:35.237143+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:12:06.056509+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:12:36.902442+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:13:08.501491+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:13:39.207147+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:14:10.266051+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:14:41.336463+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:15:12.026972+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:15:43.067607+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:16:15.149236+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:16:45.817153+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:17:16.591136+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:17:47.326261+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:18:19.187248+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:18:49.917523+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:19:20.750260+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:19:51.538330+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:20:25.324223+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:20:56.275890+08:00], issue no[151026056]
INFO:root:Ingest Issues at [2015-10-26T15:21:27.290115+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:21:58.774291+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:22:29.498123+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:23:00.221078+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:23:31.089219+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:24:01.952322+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:24:33.965443+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:25:04.754716+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:25:35.423130+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:26:06.239677+08:00], not updated yet!
